record_type,name,value,sense,vtype,obj_coef,route_nm,source_file
objective,objective,469668.6037911236,MAX,,,,solution_5_iter001.csv
runtime_seconds,optimize_model,189.9410485000044,,,,,solution_5_iter001.csv
var,"x[0,port543,port907,7777]",1.0,,B,-22190.353024607888,460.603411708999,solution_5_iter001.csv
var,"x[1,port907,port659,2710]",1.0,,B,-306403.23241702706,6359.98778628903,solution_5_iter001.csv
var,y[0],1.0,,B,0.0,,solution_5_iter001.csv
var,y[1],1.0,,B,0.0,,solution_5_iter001.csv
var,"q[1,port907,port659,2710]",82000.0,,C,12.441117469885356,,solution_5_iter001.csv
var,t[1],9.03863517387656,,C,0.0,,solution_5_iter001.csv
var,t[2],59.04521739344777,,C,0.0,,solution_5_iter001.csv
var,t[3],59.04521739344777,,C,0.0,,solution_5_iter001.csv
var,t[4],59.04521739344777,,C,0.0,,solution_5_iter001.csv
var,t_S[0],3.198634803534715,,C,-3575.625,,solution_5_iter001.csv
var,t_S[1],44.166581849229374,,C,-3575.625,,solution_5_iter001.csv
var,t_p[1],5.840000370341844,,C,-4077.045675,,solution_5_iter001.csv
var,t_p[2],5.840000370341844,,C,-4077.045675,,solution_5_iter001.csv
var,t_load[1],5.840000370341844,,C,0.0,,solution_5_iter001.csv
var,t_disch[2],5.840000370341844,,C,0.0,,solution_5_iter001.csv
var,"k_l[2710,1]",1.0,,B,0.0,,solution_5_iter001.csv
var,"k_l[2710,2]",1.0,,B,0.0,,solution_5_iter001.csv
var,"k_l[2710,3]",1.0,,B,0.0,,solution_5_iter001.csv
var,"k_l[2710,4]",1.0,,B,0.0,,solution_5_iter001.csv
objective,objective,178628.78886620275,MAX,,,,solution_5_iter002.csv
runtime_seconds,optimize_model,91.87099789999776,,,,,solution_5_iter002.csv
var,"x[0,port659,port1114,7777]",1.0,,B,-7005.238062073047,145.40717525523,solution_5_iter002.csv
var,"x[1,port1114,port155,2710]",1.0,,B,-217151.6143285533,4507.39897228903,solution_5_iter002.csv
var,y[0],1.0,,B,0.0,,solution_5_iter002.csv
var,y[1],1.0,,B,0.0,,solution_5_iter002.csv
var,"q[1,port1114,port155,2710]",82000.0,,C,6.961797574089068,,solution_5_iter002.csv
var,t[1],6.849772420725386,,C,0.0,,solution_5_iter002.csv
var,t[2],43.99115454307439,,C,0.0,,solution_5_iter002.csv
var,t[3],43.99115454307439,,C,0.0,,solution_5_iter002.csv
var,t[4],43.99115454307439,,C,0.0,,solution_5_iter002.csv
var,t_S[0],1.0097720503835417,,C,-3575.625,,solution_5_iter002.csv
var,t_S[1],31.30138175200716,,C,-3575.625,,solution_5_iter002.csv
var,t_p[1],5.840000370341844,,C,-4077.045675,,solution_5_iter002.csv
var,t_p[2],5.840000370341844,,C,-4077.045675,,solution_5_iter002.csv
var,t_load[1],5.840000370341844,,C,0.0,,solution_5_iter002.csv
var,t_disch[2],5.840000370341844,,C,0.0,,solution_5_iter002.csv
var,"k_l[2710,1]",1.0,,B,0.0,,solution_5_iter002.csv
var,"k_l[2710,2]",1.0,,B,0.0,,solution_5_iter002.csv
var,"k_l[2710,3]",1.0,,B,0.0,,solution_5_iter002.csv
var,"k_l[2710,4]",1.0,,B,0.0,,solution_5_iter002.csv
